TransactionID,OrderDate,DeliveryDate,CustomerName,ProductID,Category,Region,Quantity,UnitPrice,DiscountPct,TaxRate,PaymentMethod,OrderStatus,ShippingCity,ShippingCost,IsReturned,ReturnReason,FeedbackScore,LoyaltyPoints,PromoCode,SourceChannel,DeviceType,SessionDurationMin,WarehouseID,SalesRep,TotalAmount
2,2025-02-10 07:14:29,2025-03-19 16:05:31,Grace,791,Home,Visayas,6,280.91,0.15,0.12,Credit Card,Completed,Quezon City,8.09,No,Wrong Item,3,407,FLASH50,Paid Search,Desktop,33.2,WH-02,Team A,1604.56
12,2025-02-06 07:38:59,2026-01-13 17:52:29,Sherwin,458,Beauty,Luzon,13,168.31,0.18,0.12,E-Wallet,Completed,Cebu,15.51,No,Defective,1,39,FLASH50,Paid Search,Desktop,34.6,WH-02,Team A,2009.49
20,2025-02-27 22:25:08,2025-05-28 11:19:12,Mark,478,Sports,Visayas,14,179.8,0.17,0.12,Credit Card,Completed,Manila,20.31,No,Wrong Item,2,372,FLASH50,Direct,Desktop,41.1,WH-03,Team B,2339.99
29,2025-02-24 16:39:00,2025-09-02 07:29:15,Risa,394,Sports,Mindanao,8,249.57,0.26,0.12,Cash,Completed,Quezon City,32.72,No,Changed Mind,2,56,NONE,Organic,Desktop,26.6,WH-01,Team B,1654.75
36,2025-02-20 21:34:47,2026-02-27 22:12:40,Jinggoy,592,Home,Luzon,18,164.94,0.08,0.12,E-Wallet,Completed,Manila,15.04,No,Wrong Item,1,418,WELCOME10,Organic,Desktop,27.5,WH-02,Team C,3059.18
39,2025-02-21 04:10:13,2025-01-20 03:50:02,Imee,805,Home,NCR,4,132.3,0.02,0.12,Bank Transfer,Refunded,Quezon City,36.46,No,,4,18,WELCOME10,Social Media,Desktop,43.8,WH-01,Team B,580.85
60,2025-02-27 15:03:35,2025-12-31 05:49:44,Robinhood,334,Home,Mindanao,19,169.51,0.13,0.12,E-Wallet,Completed,Manila,13.24,No,Defective,2,411,WELCOME10,Social Media,Desktop,39.4,WH-01,Team A,3138.24
72,2025-02-09 03:14:42,2025-06-04 13:04:58,Sherwin,372,Home,Mindanao,19,94.31,0.19,0.12,Cash,Refunded,Davao,44.55,No,Defective,5,441,SUMMER20,Social Media,Mobile,17.0,WH-01,Team C,1625.6
87,2025-02-04 12:36:15,2026-01-08 20:09:23,Loren,703,Sports,Luzon,11,455.48,0.06,0.12,Bank Transfer,Completed,Quezon City,30.82,No,Wrong Item,3,49,WELCOME10,Paid Search,Desktop,15.8,WH-03,Team C,5274.82
90,2025-02-03 16:27:12,2026-01-05 02:12:15,Loren,336,Electronics,Mindanao,10,189.31,0.03,0.12,Credit Card,Completed,Quezon City,25.44,No,Changed Mind,4,340,NONE,Social Media,Desktop,5.6,WH-01,Team A,2056.66
